Марка;Сслыка;Цена в $;Цена  в UAH;Город
ВАЗ 21142004;https://auto.ria.com/uk/auto_vaz_2114_28811249.html;2 500;66 975 грн;Вінниця
ВАЗ 2110 4 GAZ2005;https://auto.ria.com/uk/auto_vaz_2110_31135647.html;3 300;88 407 грн;Хмельницький
ВАЗ 21091990;https://auto.ria.com/uk/auto_vaz_2109_31135414.html;1 350;36 167 грн;Стрий
ВАЗ 21122006;https://auto.ria.com/uk/auto_vaz_2112_31134626.html;3 300;88 407 грн;Київ
ВАЗ 21122009;https://auto.ria.com/uk/auto_vaz_2112_31035006.html;2 999;80 343 грн;Кривий Ріг
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_31133060.html;2 555;68 448 грн;Умань
ВАЗ 212132002;https://auto.ria.com/uk/auto_vaz_21213_31129720.html;3 500;93 765 грн;Олевськ
ВАЗ 21211982;https://auto.ria.com/uk/auto_vaz_2121_31126635.html;2 850;76 352 грн;Тульчин
ВАЗ 11192008;https://auto.ria.com/uk/auto_vaz_1119_30990990.html;2 750;73 673 грн;Старокостянтинів
ВАЗ 21061993;https://auto.ria.com/uk/auto_vaz_2106_31091531.html;1 450;38 846 грн;Жмеринка
ВАЗ 210991998;https://auto.ria.com/uk/auto_vaz_21099_31119811.html;2 000;53 580 грн;Мерефа
ВАЗ 21061983;https://auto.ria.com/uk/auto_vaz_2106_30879827.html;1 800;48 222 грн;Краматорськ
ВАЗ 21072006;https://auto.ria.com/uk/auto_vaz_2107_31117628.html;2 000;53 580 грн;Дніпро (Дніпропетровськ)
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_28283958.html;2 800;75 012 грн;Тернопіль
ВАЗ 11182008;https://auto.ria.com/uk/auto_vaz_1118_28981616.html;3 000;80 370 грн;Львів
ВАЗ 21702007;https://auto.ria.com/uk/auto_vaz_2170_31109982.html;4 000;107 160 грн;Маріуполь
ВАЗ 21092006;https://auto.ria.com/uk/auto_vaz_2109_31098318.html;2 450;65 636 грн;Київ
ВАЗ 11182008;https://auto.ria.com/uk/auto_vaz_1118_31105539.html;2 950;79 031 грн;Старокостянтинів
ВАЗ 11192008;https://auto.ria.com/uk/auto_vaz_1119_30595700.html;2 400;64 296 грн;Ямпіль
ВАЗ 21061987;https://auto.ria.com/uk/auto_vaz_2106_31098652.html;800;21 432 грн;Івано-Франківськ
ВАЗ 21072010;https://auto.ria.com/uk/auto_vaz_2107_31095351.html;3 650;97 784 грн;Запоріжжя
ВАЗ 210991994;https://auto.ria.com/uk/auto_vaz_21099_31091698.html;1 900;50 901 грн;Житомир
ВАЗ 21092005;https://auto.ria.com/uk/auto_vaz_2109_31089323.html;2 500;66 975 грн;Богородчани
ВАЗ 21081995;https://auto.ria.com/uk/auto_vaz_2108_31088099.html;1 450;38 846 грн;Снігурівка
ВАЗ 2121  4X41989;https://auto.ria.com/uk/auto_vaz_2121_31084399.html;3 500;93 765 грн;Теплик
ВАЗ 21702007;https://auto.ria.com/uk/auto_vaz_2170_31071291.html;3 950;105 821 грн;Нова Каховка
ВАЗ 1118 IDEAL 53 t.2008;https://auto.ria.com/uk/auto_vaz_1118_31057853.html;3 800;101 802 грн;Вінниця
ВАЗ 210992011;https://auto.ria.com/uk/auto_vaz_21099_30552814.html;3 300;88 407 грн;Ізмаїл
ВАЗ 210992002;https://auto.ria.com/uk/auto_vaz_21099_30459038.html;2 400;64 296 грн;Запоріжжя
ВАЗ 212142015;https://auto.ria.com/uk/auto_vaz_21214_26602968.html;6 700;179 493 грн;Запоріжжя
ВАЗ 2170 Se2011;https://auto.ria.com/uk/auto_vaz_2170_31024481.html;4 400;117 876 грн;Енергодар
ВАЗ 21072006;https://auto.ria.com/uk/auto_vaz_2107_31007865.html;2 100;56 259 грн;Бровари
ВАЗ 21702007;https://auto.ria.com/uk/auto_vaz_2170_30680763.html;2 750;73 673 грн;Чугуїв
ВАЗ 21092005;https://auto.ria.com/uk/auto_vaz_2109_30910133.html;2 650;70 994 грн;Мукачеве
ВАЗ 212142012;https://auto.ria.com/uk/auto_vaz_21214_30909331.html;6 200;166 098 грн;Макарів
ВАЗ 21132006;https://auto.ria.com/uk/auto_vaz_2113_30549466.html;3 600;96 444 грн;Запоріжжя
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_31135763.html;3 500;93 765 грн з ПДВ;Шостка
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31136033.html;4 750;127 253 грн;Шостка
ВАЗ 21072004;https://auto.ria.com/uk/auto_vaz_2107_31135839.html;2 100;56 259 грн;Хмельницький
ВАЗ 11182006;https://auto.ria.com/uk/auto_vaz_1118_31135716.html;2 750;73 673 грн;Дрогобич
ВАЗ 210991992;https://auto.ria.com/uk/auto_vaz_21099_31134995.html;1 200;32 148 грн;Коломия
ВАЗ 2108 210811989;https://auto.ria.com/uk/auto_vaz_2108_31134122.html;1 400;37 506 грн з ПДВ;Львів
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_31133187.html;1 600;42 864 грн;Кам'янець-Подільський
ВАЗ 21061982;https://auto.ria.com/uk/auto_vaz_2106_31132717.html;1 100;29 469 грн;Кам'янець-Подільський
ВАЗ 21091993;https://auto.ria.com/uk/auto_vaz_2109_31132618.html;1 500;40 185 грн;Самбір
ВАЗ 21061986;https://auto.ria.com/uk/auto_vaz_2106_31132325.html;930;24 915 грн;Київ
ВАЗ 21702007;https://auto.ria.com/uk/auto_vaz_2170_31131626.html;3 200;85 728 грн;Могилів-Подільський
ВАЗ 21099 20082007;https://auto.ria.com/uk/auto_vaz_21099_29912157.html;3 330;89 211 грн;Бершадь
ВАЗ 2115 1.62010;https://auto.ria.com/uk/auto_vaz_2115_30879170.html;3 677;98 507 грн;Хмельницький
ВАЗ 210991995;https://auto.ria.com/uk/auto_vaz_21099_31081440.html;1 350;36 167 грн;Дніпро (Дніпропетровськ)
ВАЗ 21152010;https://auto.ria.com/uk/auto_vaz_2115_31131260.html;4 100;109 839 грн;Короп
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_31130845.html;2 600;69 654 грн;Хмельницький
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_29398078.html;2 799;74 985 грн;Київ
ВАЗ 2112 211242006;https://auto.ria.com/uk/auto_vaz_2112_31016146.html;2 700;72 333 грн з ПДВ;Тальне
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_31130405.html;2 950;79 031 грн;Кам'янець-Подільський
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_31129974.html;1 500;40 185 грн;Львів
ВАЗ 2101 ORIGINAL1977;https://auto.ria.com/uk/auto_vaz_2101_30871138.html;3 333;89 291 грн;Бершадь
ВАЗ 21011979;https://auto.ria.com/uk/auto_vaz_2101_31128795.html;700;18 753 грн;Здолбунів
ВАЗ 2121 Niva1989;https://auto.ria.com/uk/auto_vaz_2121_30531775.html;2 950;79 031 грн;Біла Церква
ВАЗ 21081993;https://auto.ria.com/uk/auto_vaz_2108_31127621.html;1 199;32 121 грн;Біла Церква
ВАЗ 2170 GAS 42008;https://auto.ria.com/uk/auto_vaz_2170_31127513.html;3 350;89 747 грн;Тернопіль
ВАЗ 21071996;https://auto.ria.com/uk/auto_vaz_2107_31127114.html;1 320;35 363 грн;Костопіль
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_30334119.html;3 500;93 765 грн;Мелітополь
ВАЗ 21092004;https://auto.ria.com/uk/auto_vaz_2109_31125528.html;1 950;52 241 грн;Косів
ВАЗ 21112009;https://auto.ria.com/uk/auto_vaz_2111_31125091.html;2 850;76 352 грн;Кропивницький (Кіровоград)
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31124484.html;3 200;85 728 грн;Одеса
ВАЗ 2106 210611998;https://auto.ria.com/uk/auto_vaz_2106_30575177.html;1 150;30 809 грн;Кременчук
ВАЗ 2101 210111978;https://auto.ria.com/uk/auto_vaz_2101_30521160.html;600;16 074 грн;Апостолове
ВАЗ 21212006;https://auto.ria.com/uk/auto_vaz_2121_30836688.html;2 800;75 000 грн з ПДВ;Білогір'я
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31123734.html;2 450;65 636 грн;Ватутіне
ВАЗ 2105 210531992;https://auto.ria.com/uk/auto_vaz_2105_31123187.html;1 800;48 222 грн;Харків
ВАЗ 21051988;https://auto.ria.com/uk/auto_vaz_2105_30644460.html;1 300;34 827 грн;Овруч
ВАЗ 21071990;https://auto.ria.com/uk/auto_vaz_2107_30665465.html;800;21 432 грн;Шацьк
ВАЗ 21091998;https://auto.ria.com/uk/auto_vaz_2109_30426170.html;2 000;53 580 грн;Рожнятів
ВАЗ 2111 211142004;https://auto.ria.com/uk/auto_vaz_2111_30511858.html;2 800;75 012 грн;Миколаїв
ВАЗ 21102002;https://auto.ria.com/uk/auto_vaz_2110_31122030.html;2 550;68 315 грн;Лубни
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_30869461.html;3 100;83 049 грн;Чернігів
ВАЗ 21081988;https://auto.ria.com/uk/auto_vaz_2108_31120501.html;1 700;45 543 грн;Одеса
ВАЗ 21092007;https://auto.ria.com/uk/auto_vaz_2109_31120197.html;1 650;44 204 грн;Луцьк
ВАЗ 21081990;https://auto.ria.com/uk/auto_vaz_2108_31017863.html;1 650;44 204 грн;Львів
ВАЗ 2101 Tayga1975;https://auto.ria.com/uk/auto_vaz_2101_31119754.html;850;22 772 грн;Одеса
ВАЗ 21122001;https://auto.ria.com/uk/auto_vaz_2112_31119208.html;2 400;64 296 грн;Маріуполь
ВАЗ 2101 1.2 S1985;https://auto.ria.com/uk/auto_vaz_2101_31118588.html;1 450;38 846 грн;Біла Церква
ВАЗ 21102005;https://auto.ria.com/uk/auto_vaz_2110_31118567.html;2 000;53 580 грн;Дніпро (Дніпропетровськ)
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_31118101.html;2 450;65 636 грн;Харків
ВАЗ 21061989;https://auto.ria.com/uk/auto_vaz_2106_31116536.html;750;20 093 грн;Берестечко
ВАЗ 11182008;https://auto.ria.com/uk/auto_vaz_1118_29974838.html;2 800;75 012 грн;Хмельницький
ВАЗ 21152012;https://auto.ria.com/uk/auto_vaz_2115_31116214.html;3 700;99 123 грн;Бориспіль
ВАЗ 21061984;https://auto.ria.com/uk/auto_vaz_2106_30876168.html;1 100;29 469 грн;Дніпро (Дніпропетровськ)
ВАЗ 11172011;https://auto.ria.com/uk/auto_vaz_1117_31115369.html;3 800;101 802 грн;Прилуки
ВАЗ 21099 GAZ2008;https://auto.ria.com/uk/auto_vaz_21099_31113699.html;2 650;70 994 грн;Броди
ВАЗ 21092002;https://auto.ria.com/uk/auto_vaz_2109_31110759.html;1 800;48 222 грн;Суми
ВАЗ 21042007;https://auto.ria.com/uk/auto_vaz_2104_30283361.html;1 450;38 846 грн;Дніпро (Дніпропетровськ)
ВАЗ 212142005;https://auto.ria.com/uk/auto_vaz_21214_30057924.html;3 800;101 802 грн;Чернігів
ВАЗ 21152009;https://auto.ria.com/uk/auto_vaz_2115_31112610.html;3 400;91 086 грн;Одеса
ВАЗ 2110 Ridna  Farba2007;https://auto.ria.com/uk/auto_vaz_2110_31112432.html;3 000;80 370 грн;Кам'янець-Подільський
ВАЗ 11192008;https://auto.ria.com/uk/auto_vaz_1119_29042946.html;2 929;78 468 грн;Чернігів
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_31111842.html;3 050;81 710 грн;Вінниця
ВАЗ 21072000;https://auto.ria.com/uk/auto_vaz_2107_31111792.html;2 000;53 580 грн;Вінниця
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_31110033.html;2 450;65 636 грн;Борислав
ВАЗ 21042007;https://auto.ria.com/uk/auto_vaz_2104_31111049.html;1 950;52 241 грн;Київ
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_31110233.html;3 300;88 407 грн;Прилуки
ВАЗ 210992005;https://auto.ria.com/uk/auto_vaz_21099_29917698.html;2 500;66 975 грн;Мерефа
ВАЗ 21061992;https://auto.ria.com/uk/auto_vaz_2106_31109365.html;1 750;46 883 грн;Житомир
ВАЗ 21142008;https://auto.ria.com/uk/auto_vaz_2114_26044612.html;3 800;101 802 грн;Івано-Франківськ
ВАЗ 21099 injektor2006;https://auto.ria.com/uk/auto_vaz_21099_31108424.html;2 350;62 957 грн;Одеса
ВАЗ 21702009;https://auto.ria.com/uk/auto_vaz_2170_29137245.html;4 800;128 592 грн;Слов'янськ
ВАЗ 21102002;https://auto.ria.com/uk/auto_vaz_2110_30593885.html;2 100;56 259 грн;Київ
ВАЗ 2107 NOVA2011;https://auto.ria.com/uk/auto_vaz_2107_30991940.html;3 500;93 765 грн;Вінниця
ВАЗ 210992006;https://auto.ria.com/uk/auto_vaz_21099_31098123.html;1 950;52 241 грн;Київ
ВАЗ 21042006;https://auto.ria.com/uk/auto_vaz_2104_31100335.html;2 400;64 296 грн;Житомир
ВАЗ 21702011;https://auto.ria.com/uk/auto_vaz_2170_31099070.html;3 200;85 728 грн;Миколаїв
ВАЗ 210992002;https://auto.ria.com/uk/auto_vaz_21099_31099047.html;2 300;61 617 грн;Суми
ВАЗ 21152005;https://auto.ria.com/uk/auto_vaz_2115_30440295.html;2 100;56 259 грн;Львів
ВАЗ 21152005;https://auto.ria.com/uk/auto_vaz_2115_31098266.html;2 350;62 957 грн;Харків
ВАЗ 21091995;https://auto.ria.com/uk/auto_vaz_2109_31097090.html;1 099;29 442 грн;Житомир
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_30550828.html;2 100;56 259 грн;Івано-Франківськ
ВАЗ 2110 211022000;https://auto.ria.com/uk/auto_vaz_2110_31092010.html;3 800;101 802 грн;Запоріжжя
ВАЗ 21061988;https://auto.ria.com/uk/auto_vaz_2106_31091973.html;550;14 735 грн;Жовква
ВАЗ 21011979;https://auto.ria.com/uk/auto_vaz_2101_31091156.html;950;25 451 грн;Одеса
ВАЗ 2104 1.52006;https://auto.ria.com/uk/auto_vaz_2104_31089482.html;2 450;65 636 грн;Одеса
ВАЗ 2170 1.6 COMFORT GAZ2008;https://auto.ria.com/uk/auto_vaz_2170_31089481.html;2 950;79 031 грн;Київ
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_31087115.html;2 000;53 580 грн;Харків
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_30871765.html;1 900;50 901 грн;Демидівка
ВАЗ 21102002;https://auto.ria.com/uk/auto_vaz_2110_31083036.html;2 700;72 333 грн;Павлоград
ВАЗ 21112009;https://auto.ria.com/uk/auto_vaz_2111_30538249.html;3 690;98 855 грн;Шепетівка
ВАЗ 21152002;https://auto.ria.com/uk/auto_vaz_2115_31073155.html;2 100;56 259 грн;Запоріжжя
ВАЗ 212132007;https://auto.ria.com/uk/auto_vaz_21213_31071078.html;3 400;91 086 грн;Стара Вижівка
ВАЗ 21132008;https://auto.ria.com/uk/auto_vaz_2113_30709246.html;2 500;66 975 грн;Львів
ВАЗ 21152008;https://auto.ria.com/uk/auto_vaz_2115_31066661.html;1 500;40 185 грн;Івано-Франківськ
ВАЗ 2109 Samara1991;https://auto.ria.com/uk/auto_vaz_2109_30861669.html;1 045;28 000 грн;Львів
ВАЗ 21091991;https://auto.ria.com/uk/auto_vaz_2109_31065400.html;1 222;32 737 грн;Бар
ВАЗ 21132005;https://auto.ria.com/uk/auto_vaz_2113_31060597.html;2 500;66 975 грн;Захарівка (Фрунзівка)
ВАЗ 2101 210111979;https://auto.ria.com/uk/auto_vaz_2101_31058152.html;1 450;38 846 грн;Чернівці
ВАЗ 21102002;https://auto.ria.com/uk/auto_vaz_2110_31058039.html;2 600;69 654 грн;Ніжин
ВАЗ 2109 210931990;https://auto.ria.com/uk/auto_vaz_2109_30819959.html;1 500;40 185 грн з ПДВ;Рокитне
ВАЗ 2108 vaz 21081990;https://auto.ria.com/uk/auto_vaz_2108_30725404.html;2 000;53 580 грн;Новомосковськ
ВАЗ 21092009;https://auto.ria.com/uk/auto_vaz_2109_31048481.html;2 950;79 031 грн;Львів
ВАЗ 21061989;https://auto.ria.com/uk/auto_vaz_2106_31042061.html;975;26 120 грн;Селидове
ВАЗ 21061992;https://auto.ria.com/uk/auto_vaz_2106_31039706.html;1 300;34 827 грн;Черкаси
ВАЗ 11172009;https://auto.ria.com/uk/auto_vaz_1117_31037865.html;3 750;100 463 грн;Чернігів
ВАЗ 21132007;https://auto.ria.com/uk/auto_vaz_2113_31034651.html;2 800;75 012 грн;Хорол
ВАЗ 21011987;https://auto.ria.com/uk/auto_vaz_2101_30795723.html;1 500;40 185 грн;Рівне
ВАЗ 2110 Ideal2014;https://auto.ria.com/uk/auto_vaz_2110_31033547.html;4 500;120 555 грн;Первомайськ
ВАЗ 11192010;https://auto.ria.com/uk/auto_vaz_1119_31032943.html;3 500;93 765 грн;Харків
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_31031981.html;1 500;40 185 грн;Харків
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31029772.html;2 000;53 580 грн;Волноваха
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31029452.html;2 450;65 636 грн;Ланівці
ВАЗ 21072008;https://auto.ria.com/uk/auto_vaz_2107_30403584.html;2 200;58 938 грн;Рахів
ВАЗ 21142007;https://auto.ria.com/uk/auto_vaz_2114_30783399.html;2 800;75 012 грн;Кропивницький (Кіровоград)
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31025839.html;2 550;68 315 грн;Київ
ВАЗ 21061987;https://auto.ria.com/uk/auto_vaz_2106_25216638.html;3 289;88 112 грн;Одеса
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_31023947.html;2 899;77 664 грн;Теофіполь
ВАЗ 21102014;https://auto.ria.com/uk/auto_vaz_2110_31020691.html;5 400;144 666 грн;Покровськ (Красноармійськ)
ВАЗ 21072004;https://auto.ria.com/uk/auto_vaz_2107_31018316.html;1 600;42 864 грн;Тернопіль
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31017803.html;3 000;80 370 грн;Кам'янець-Подільський
ВАЗ 2107 1.51985;https://auto.ria.com/uk/auto_vaz_2107_31016354.html;999;26 763 грн;Тернопіль
ВАЗ 21051984;https://auto.ria.com/uk/auto_vaz_2105_31016188.html;1 350;36 167 грн;Канів
ВАЗ 210991998;https://auto.ria.com/uk/auto_vaz_21099_31015998.html;2 290;61 349 грн;Стрий
ВАЗ 21061991;https://auto.ria.com/uk/auto_vaz_2106_31013417.html;5 500;147 345 грн;Київ
ВАЗ 21102006;https://auto.ria.com/uk/auto_vaz_2110_31009955.html;4 499;120 528 грн;Кропивницький (Кіровоград)
ВАЗ 11192007;https://auto.ria.com/uk/auto_vaz_1119_30585254.html;3 200;85 728 грн;Київ
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31005344.html;3 000;80 370 грн;Кам'янець-Подільський
ВАЗ 21122006;https://auto.ria.com/uk/auto_vaz_2112_30795184.html;3 700;99 123 грн;Бровари
ВАЗ 21091992;https://auto.ria.com/uk/auto_vaz_2109_30998577.html;1 050;28 130 грн;Южноукраїнськ
ВАЗ 21071998;https://auto.ria.com/uk/auto_vaz_2107_30995867.html;2 100;56 259 грн;Полтава
ВАЗ 21031977;https://auto.ria.com/uk/auto_vaz_2103_30135886.html;680;18 217 грн;Полтава
ВАЗ 21072007;https://auto.ria.com/uk/auto_vaz_2107_30780306.html;2 500;66 975 грн;Бережани
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_30993830.html;3 500;93 765 грн;Кривий Ріг
ВАЗ 21081986;https://auto.ria.com/uk/auto_vaz_2108_30754273.html;1 300;34 827 грн;Трускавець
ВАЗ 21102002;https://auto.ria.com/uk/auto_vaz_2110_30598891.html;2 300;61 617 грн;Долинська
ВАЗ 21042001;https://auto.ria.com/uk/auto_vaz_2104_30983955.html;1 600;42 864 грн;Львів
ВАЗ 21122006;https://auto.ria.com/uk/auto_vaz_2112_30656469.html;2 500;66 975 грн;Бородянка
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_30977161.html;1 850;49 562 грн;Берегове
ВАЗ 212142012;https://auto.ria.com/uk/auto_vaz_21214_30976244.html;5 200;139 308 грн;Рівне
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_30975478.html;3 399;91 059 грн;Вінниця
ВАЗ 21042006;https://auto.ria.com/uk/auto_vaz_2104_30972724.html;1 350;36 167 грн;Ходорів
ВАЗ 21042004;https://auto.ria.com/uk/auto_vaz_2104_30700770.html;2 000;53 580 грн;Київ
ВАЗ 11172011;https://auto.ria.com/uk/auto_vaz_1117_30965492.html;5 500;147 345 грн;Харків
