Название;Цена;Описание;Подробное описание;Артикул;Материалы;Инструкция по использыванию;Размер
STRÅLA СТРОЛА Светодиодная гирлянда, 32 лампочки, с батарейным питанием мини/звезда;799;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Батарейки продаются отдельно, требуется 3 батарейки АА.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.Этот товар имеет маркировку CE.;805.031.15;Отсек батареи/ Украшение:Пластмасса АБС Втулка:Полиэтилен Защитная подложка:Синтетический каучук;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnaya-girlyanda-32-lampochki-s-batareynym-pitaniem-mini-zvezda__AA-2259281-2.pdf;Длина до 1 лампочки: 1.5 м Общая длина: 4.7 м
STRÅLA СТРОЛА Подвесной светильник, светодиодный, с батарейным питанием/в форме звезды27 см;999;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Этот товар имеет маркировку CE.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Батарейки продаются отдельно, требуется 3 батарейки АА.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.;505.025.32;Отсек батареи/ Чехол:Пластмасса АБС Защитная подложка:Синтетический каучук Втулка:ЭВА (Этиленвинилацетат) Каркас:Сталь, Порошковое покрытие Держатель провода:Полипропилен;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-podvesnoy-svetilnik-svetodiodnyy-s-batareynym-pitaniem-v-forme-zvezdy__AA-2268471-1.pdf;Световой поток: 12 Люмен Диаметр: 27 см Длина провода: 3.9 м
STRÅLA СТРОЛА Светодиодная гирлянда, 200 ламп, мини;2 999;По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.;По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Интегрированный светодиод.Цветность света: 2700 Кельвинов (теплый белый).Срок службы светодиода около 20 000 часов.Этот товар имеет маркировку CE.;805.025.64;Основа/ Чехол:Поликарбонат Втулка:ЭВА (Этиленвинилацетат);https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnaya-girlyanda-200-lamp-mini__AA-2201539-2.pdf;Длина до 1 лампочки: 4.0 м Длина шнура между лампочками: 5 см Общая длина: 14.0 м
STRÅLA СТРОЛА Светодиодное настольное украшение, с батарейным питанием/звезда;999;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;"Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Этот товар имеет маркировку CE.Требуются 2 батарейки АА; продаются отдельно.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.";005.025.20;Чехол/ Отсек батареи/ Корпус выключателя/ Вставка/ Соединение основания:Пластмасса АБС Украшение/ Трубка:Сталь, Порошковое покрытие Защитная подложка:Синтетический каучук;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnoe-nastolnoe-ukrashenie-s-batareynym-pitaniem-zvezda__AA-2242672-1.pdf;Световой поток: 4 Люмен Ширина: 18 см Высота: 40 см Диаметр: 10 см
STRÅLA СТРОЛА Лампа настольная, птица30 см;899;Мягкий рассеянный свет создает в комнате  уютную и располагающую атмосферу.;Мягкий рассеянный свет создает в комнате  уютную и располагающую атмосферу.Только для использования в помещении.Этот товар имеет маркировку CE.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.;505.031.45;Абажур:Бумага Каркас/ Поддерживающий кронштейн/ Основание:Сталь, Порошковое покрытие;Нету;Высота: 30 см
STRÅLA СТРОЛА Светодиодный канделябр, круг/с батарейным питанием22 см;1 599;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;"Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Батарейки продаются отдельно; требуется 2 батарейки AAA.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.Этот товар имеет маркировку CE.";205.030.57;Абажур/ Трубка/ Кольцо/ Кабельная коробка/ Отсек батареи:Пластмасса АБС Поддерживающий кронштейн:Полипропилен Защитная подложка:ЭВА (Этиленвинилацетат) Подвес:Сталь, Эпоксидное покрытие Каркас/ Основа:Сталь, Порошковое покрытие;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnyy-kandelyabr-krug-s-batareynym-pitaniem__AA-2262178-2.pdf;Высота: 22 см Ширина: 21 см
STRÅLA СТРОЛА Гирлянда, 160 светодиодов, с батарейным питанием мини/медный;999;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Создает атмосферу праздника и домашнего уюта.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Батарейки продаются отдельно, требуется 3 батарейки АА.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.Этот товар имеет маркировку CE.;404.973.57;Отсек батареи:Пластмасса АБС Проволока:Медь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-girlyanda-160-svetodiodov-s-batareynym-pitaniem-mini-mednyy__AA-2244045-1.pdf;Световой поток: 8 Люмен Длина шнура между лампочками: 5 см Длина провода: 1.5 м Мощность: 0.18 Вт Общая длина: 3.5 м
STRÅLA СТРОЛА Гирлянда, 24 светодиода, звезда мигающий/для сада золотой;2 999;По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.;По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Мягкий рассеянный свет создает в комнате  уютную и располагающую атмосферу.Для использования в помещении или на улице.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Этот товар имеет маркировку CE.Степень защиты IP44.;105.031.66;Украшение:Полистирол Зажим:Поликарбонат Планка:Полиамидная пластмасса;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-girlyanda-24-svetodioda-zvezda-migayushchiy-dlya-sada-zolotoy__AA-2272604-1.pdf;Световой поток: 5 Люмен Длина провода: 4.0 м Мощность: 1.5 Вт Общая длина: 8.6 м
STRÅLA СТРОЛА Подвесной светильник, светодиодный, с батарейным питанием круглой формы/мигающий;1 699;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Только для использования в помещении.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Батарейки продаются отдельно, требуется 3 батарейки АА.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.Этот товар имеет маркировку CE.;405.025.37;Каркас:Сталь, Порошковое покрытие Отсек батареи:Пластмасса АБС Держатель провода:Полипропилен;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-podvesnoy-svetilnik-svetodiodnyy-s-batareynym-pitaniem-krugloy-formy-migayushchiy__AA-2244573-2.pdf;Диаметр: 35 см Длина провода: 4.0 м
STRÅLA СТРОЛА Абажур, снежинка48 см;499;Создает атмосферу праздника и домашнего уюта.;Создает атмосферу праздника и домашнего уюта.Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.Только для использования в помещении.Основание светильника и шнур-подвес продаются отдельно.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.;605.031.78;Абажур:Цельный картон Кольцо:Поликарбонат Металлические части:Нержавеющая сталь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-abazhur-snezhinka__AA-2263273-2.pdf;Диаметр: 48 см
STRÅLA СТРОЛА Светодиодная гирлянда, 10 ламп, с батарейным питанием/в форме свечи, с зажимом;1 299;Отличный аксессуар для создания праздничной атмосферы в доме.;"Отличный аксессуар для создания праздничной атмосферы в доме.Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Только для использования в помещении.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Требуются 2 батарейки АА; продаются отдельно.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.";804.767.15;Зажим/ Соединение/ Крепление провода:Поликарбонат Втулка:ПЭТ (Полиэтилентерефталат) Поддерживающий кронштейн:Полипропилен Основа/ Абажур/ Трубка/ Колпак/ Отсек батареи:Пластмасса АБС Вставка:ЭВА (Этиленвинилацетат);https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnaya-girlyanda-10-lamp-s-batareynym-pitaniem-v-forme-svechi-s-zazhimom__AA-2211776-1.pdf;Длина до 1 лампочки: 150 см Длина шнура между лампочками: 45 см Общая длина: 557 см Срок службы: 20000 ч
STRÅLA СТРОЛА Светодиодное настольное украшение, мишка с подарком;1 799;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Только для использования в помещении.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).При замене батарей используйте только перезаряжаемые батареи одного типа и одинаковой емкости.Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Этот товар имеет маркировку CE.2 перезаряжаемые батарейки 1,2 В AA NiMH 1000 мА·ч прилагаются.Прилагающиеся аккумуляторы заряжаются в течение 10 часов и работают макс. 18 часов.;205.084.70;Основа/ Чехол/ Абажур:Поликарбонат Украшение:Поликарбонат, Пластмасса АБС Рассеиватель:Акриловый пластик Поддерживающий кронштейн:Пластмасса АБС;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-svetodiodnoe-nastolnoe-ukrashenie-mishka-s-podarkom__AA-2257265-1.pdf;Высота: 17 см Диаметр: 11 см Срок службы: 20000 ч
STRÅLA СТРОЛА Гирлянда, 40 светодиодов, с батарейным питанием лист/золотой;999;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;"Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.По сравнению с лампами накаливания светодиоды потребляют на 85 % меньше электроэнергии и служат в 10 раз дольше.Интегрированный светодиод.Срок службы светодиода около 20 000 часов.Цветность света: 2700 Кельвинов (теплый белый).Используйте только предназначенные для товара батарейки. Не используйте одновременно старые и новые батарейки, батарейки разных типов и марок.Рекомендуем использовать аккумуляторные батарейки ЛАДДА.Требуются 2 батарейки АА; продаются отдельно.Этот товар имеет маркировку CE.Встроенный таймер каждый день обеспечивает включение светильников в определенное время на 6 часов.";505.030.94;Отсек батареи:Пластмасса АБС Украшение:100% полиэстер;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-girlyanda-40-svetodiodov-s-batareynym-pitaniem-list-zolotoy__AA-2261447-1.pdf;Длина до 1 лампочки: 0.5 м Общая длина: 4.5 м
FÖRTJUSNING ФОРТЙЮСНИНГ Декоративная подсветка, светодиоды, с батарейным питанием/клош белый18 см;699;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.;Можно разместить в любом месте, т. к. работает на батарейках и не требует подключения к электросети.Удобно и просто использовать благодаря интегрированному таймеру, который автоматически включает подсветку на 6 часов.Мягкий свет создает в комнате уютную и располагающую атмосферу.Батарейки продаются отдельно, требуется 2 шт. LR6 АА 1,5 В.Интегрированный светодиод.Цветность света: 2700 Кельвинов (теплый белый).Только для использования в помещении.Срок службы светодиода около 20 000 часов.;004.703.45;Основание:Полистирол Абажур:Поликарбонат;https://www.ikea.com/ru/ru/assembly_instructions/foertjusning-fortyyusning-dekorativnaya-podsvetka-svetodiody-s-batareynym-pitaniem-klosh-belyy__AA-2272304-1.pdf;Высота: 18 см Диаметр: 12 см
STRÅLA СТРОЛА Абажур, лист зеленый48 см;399;Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.;Создайте подвесной светильник или настольную лампу, дополнив абажур шнуром-подвесом или основанием СТРОЛА.Создает атмосферу праздника и домашнего уюта.Только для использования в помещении.Основание светильника и шнур-подвес продаются отдельно.Лампочка продается отдельно. Рекомендуется светодиод E14 250 лм, шарообразный молочный.;605.037.34;Абажур:Цельный картон Кольцо:Поликарбонат Металлические части:Нержавеющая сталь;https://www.ikea.com/ru/ru/assembly_instructions/strala-strola-abazhur-list-zelenyy__AA-2126698-1.pdf;Диаметр: 48 см
